Anio;Codigo_Biblioteca_REBIUN;Biblioteca;Eje;Nombre_Eje;Apartado;Nombre_Apartado;Codigo_REBIUN;Codigo_Tecnico;Indicador;Valor
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.4;Recursos electrónicos;5.4.4.3;NOTRABACADREPOSITO;Total de trabajos académicos (trabajos fin de grado y fin de máster) en el repositorio institucional en acceso abierto;1005
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.4;Recursos electrónicos;5.4.4.4;NOMATDOCENREPOSITO;Total de materiales docentes y objetos de aprendizaje en el repositorio institucional en acceso abierto;4979
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.4;Recursos electrónicos;5.4.4.5;NOPATRIMBIBREPOSITO;Total de documentos del Patrimonio bibliográfico y documental, digitalizados y depositados en el repositorio institucional en acceso abierto;22055
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.5;Títulos informatizados en el año;5.5;NTITINFORANYO;Títulos informatizados en el año;65638
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.6;Total de títulos informatizados;5.6;NTOTALTITINFOR;Total de títulos informatizados;1768455
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.7;Total de ítems informatizados;5.7;NTOTALITEMINFOR;Total de ítems informatizados;2898755
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.8;Total de ítems no informatizados;5.8;NTOTALITEMINFORNOCAT;Total de ítems no informatizados;
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.9;Fondo antiguo;5.9.1;NTOTALMANUSC;Total de manuscritos;1034
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.9;Fondo antiguo;5.9.2;NTOTALINCUNA;Total de incunables;12
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.9;Fondo antiguo;5.9.3;NTOTALIMPI;Total de impresos 1501-1800;19248
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.9;Fondo antiguo;5.9.4;NTOTALIMPII;Total de impresos 1801-1900;114903
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.1;Uso de instalaciones;6.1.1;NDIASABANYO;Días de apertura anual;115
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.1;Uso de instalaciones;6.1.2;NDIASABSEM;Horas de apertura semanal;16
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.1;Uso de instalaciones;6.1.3;NENTRADBIBLIO;Número de entradas a las bibliotecas;43044
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.2;Préstamos domiciliarios;6.2;NPRESTDOMIC;Préstamos domiciliarios;16999
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.2;Préstamos domiciliarios;6.2.1;NPRESTUSUARIO;Préstamos a usuarios propios y usuarios externos registrados;16999
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.2;Préstamos domiciliarios;6.2.2;NPRESTCONSORC;Préstamos a usuarios consorciados;0
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.3;Visitas a la web de la biblioteca;6.3;NVISITASWEB;Visitas a la web de la biblioteca (incluidas Guías temáticas de producción propia);132816
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.4;Consultas al catálogo de la biblioteca;6.4;NCONSULTASCATALOG;Consultas al catálogo de la biblioteca;323861
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.1;NCONSULRECPAGO;Búsquedas en recursos electrónicos de pago o con licencia;1074698
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.1.1;NCONSULRECPAGOCOUNT;Búsquedas en recursos electrónicos de pago o con licencia a lo largo del año:datos Counter;930333
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.1.2;NCONSULRECPAGNOCOUNT;Búsquedas o sesiones en recursos electrónicos de pago o con licencia a lo largo del año: datos NO Counter;144365
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.1.2.1;NCONRECPAGNOCOUNTBS;Búsquedas en recursos electrónicos de pago o con licencia a lo largo del año: datos No Counter;141820
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.1.2.2;NCONRECPAGNOCOUNTSS;Sesiones en recursos electrónicos de pago o con licencia a lo largo del año: datos No Counter;2545
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.2;NDOCDESCARGPAGO;Vistas y descargas del texto completo de los recursos electrónicos de pago o con licencia a lo largo del año;1707012
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.2.1;NDOCDESCARGPAGOCOUNT;Vistas y descargas del texto completo de los recursos electrónicos de pago o con licencia a lo largo del año: datos counter;1699148
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.2.1.1;NVISDESREVCOUNT;Vistas y descargas del texto completo de artículos de revista: datos Counter;1640054
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.2.1.1.1;NVISDESREVCOUNTPAG;Vistas y descargas del texto completo de artículos de revistas de pago: datos Counter;1640054
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.2.1.1.2;NVISDESREVCOUNTOP;Vistas y descargas del texto completo de artículos de revistas de open access: datos Counter;
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.6;Formación de personas usuarias;6.6.1;NCURSOSIMPART;Número de cursos impartidos;20
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.2.1.2;NVISDESLIBRCOUNT;Vistas y descargas del texto completo de libros electrónicos: datos Counter;59094
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.6;Formación de personas usuarias;6.6.1.1;NCURSOSREG;Formación reglada;0
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.2.1.2.1;NVISDESLIBRCOUNTPAG;Vistas y descargas del texto completo de libros de pago: datos Counter;59094
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.6;Formación de personas usuarias;6.6.1.2;NCURSOSNOREG;Formación no reglada;20
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.2.1.2.2;NVISDESLIBRCOUNTOP;Vistas y descargas del texto completo de libros open access: datos Counter;
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.2.1.3;NVISDESDISTCOUNT;Vistas y descargas del texto completo de tipologías de datos (Data type) distintas de libros y revistas: datos Counter;
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.6;Formación de personas usuarias;6.6.2;NHORASFORM;Número de horas impartidas;60
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.6;Formación de personas usuarias;6.6.2.1;NHORASFORMREG;Número de horas de formación reglada;0
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.5;Uso de recursos electrónicos;6.5.2.2;NDOCDESCARPAGNOCOUNT;Vistas y descargas de documentos descargados de los recursos electrónicos: datos NO Counter;7864
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.6;Formación de personas usuarias;6.6.2.2;NHORASFORMNOREG;Número de horas de formación no reglada;60
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.6;Formación de personas usuarias;6.6.3;NASISTENTESFORM;Número de asistentes a la formación;891
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.6;Formación de personas usuarias;6.6.3.1;NASISTFORMREG;Asistentes a formación reglada;0
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.6;Formación de personas usuarias;6.6.3.2;NASISTFORMNOREG;Asistentes a formación no reglada;891
2020;20;Consejo Superior de Investigaciones Científicas;6;Servicios;6.6;Formación de personas usuarias;6.6.4;NMATFORM;Materiales formativos;101
2020;20;Consejo Superior de Investigaciones Científicas;7;Cooperación, Extensión y Comunicación;7.1;Préstamo Interbibliotecario;7.1.1;NPETICPOSITIV;Biblioteca como centro solicitante. Total de solicitudes [positivas] de copias y préstamos pedidas a otros centros;2689
2020;20;Consejo Superior de Investigaciones Científicas;7;Cooperación, Extensión y Comunicación;7.1;Préstamo Interbibliotecario;7.1.1.1;NSOLNACIONAL;Biblioteca como centro solicitante. Solicitudes [positivas] de copias a bibliotecas nacionales;1978
2020;20;Consejo Superior de Investigaciones Científicas;7;Cooperación, Extensión y Comunicación;7.1;Préstamo Interbibliotecario;7.1.1.2;NSOLEXTRANJ;Biblioteca como centro solicitante. Solicitudes [positivas] de copias a bibliotecas extranjeras;477
2020;20;Consejo Superior de Investigaciones Científicas;7;Cooperación, Extensión y Comunicación;7.1;Préstamo Interbibliotecario;7.1.1.3;NSOLPRESTNAC;Biblioteca como centro solicitante. Solicitudes [positivas] de préstamos nacionales;204
2020;20;Consejo Superior de Investigaciones Científicas;7;Cooperación, Extensión y Comunicación;7.1;Préstamo Interbibliotecario;7.1.1.4;NSOLPRESTEXTRANJ;Biblioteca como centro solicitante. Solicitudes [positivas] de préstamos extranjeras;30
2020;20;Consejo Superior de Investigaciones Científicas;7;Cooperación, Extensión y Comunicación;7.1;Préstamo Interbibliotecario;7.1.2;NTOTALPETNAC;Biblioteca como centro proveedor.Total de peticiones [positivas] de copias y préstamos servidas a bibliotecas nacionales;3894
2020;20;Consejo Superior de Investigaciones Científicas;7;Cooperación, Extensión y Comunicación;7.1;Préstamo Interbibliotecario;7.1.2.1;NPETNACIONAL;Biblioteca como centro proveedor. Peticiones de copias servidas [positivas] a bibliotecas nacionales;3376
2020;20;Consejo Superior de Investigaciones Científicas;7;Cooperación, Extensión y Comunicación;7.1;Préstamo Interbibliotecario;7.1.2.2;NPETEXTRANJ;Biblioteca como centro proveedor. Peticiones de copias servidas [positivas] a bibliotecas extranjeras;476
