Codigo_Tecnico;Codigo_REBIUN_Referencia;Indicador_Referencia;Eje_Referencia;Nombre_Eje_Referencia;Apartado_Referencia;Nombre_Apartado_Referencia;Primer_Anio;Ultimo_Anio;Cambio_Codigo_REBIUN;Cambio_Denominacion;Codigos_REBIUN_Historicos;Denominaciones_Historicas
NPERSADMINM;2.1.5.2;Personal administrativo masculino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.5.2 | 2024:2.1.5.2 | 2025:2.1.5.2;2023:Personal administrativo masculino | 2024:Personal administrativo masculino | 2025:Personal administrativo masculino
NCURSOSFORM;2.2.1;Número de cursos recibidos por el personal de la biblioteca;2;Recursos Humanos;2.2;Cursos de formación;2020;2025;No;No;2020:2.2.1 | 2021:2.2.1 | 2022:2.2.1 | 2023:2.2.1 | 2024:2.2.1 | 2025:2.2.1;2020:Número de cursos recibidos por el personal de la biblioteca | 2021:Número de cursos recibidos por el personal de la biblioteca | 2022:Número de cursos recibidos por el personal de la biblioteca | 2023:Número de cursos recibidos por el personal de la biblioteca | 2024:Número de cursos recibidos por el personal de la biblioteca | 2025:Número de cursos recibidos por el personal de la biblioteca
NASISTCURSO;2.2.2;Número de asistentes;2;Recursos Humanos;2.2;Cursos de formación;2020;2025;No;No;2020:2.2.2 | 2021:2.2.2 | 2022:2.2.2 | 2023:2.2.2 | 2024:2.2.2 | 2025:2.2.2;2020:Número de asistentes | 2021:Número de asistentes | 2022:Número de asistentes | 2023:Número de asistentes | 2024:Número de asistentes | 2025:Número de asistentes
NCURSIMPART;2.2.3;Número de cursos impartidos;2;Recursos Humanos;2.2;Cursos de formación;2020;2025;No;No;2020:2.2.3 | 2021:2.2.3 | 2022:2.2.3 | 2023:2.2.3 | 2024:2.2.3 | 2025:2.2.3;2020:Número de cursos impartidos | 2021:Número de cursos impartidos | 2022:Número de cursos impartidos | 2023:Número de cursos impartidos | 2024:Número de cursos impartidos | 2025:Número de cursos impartidos
NHORASCURSO;2.2.4;Número de horas de cursos recibidos por el personal;2;Recursos Humanos;2.2;Cursos de formación;2020;2025;No;No;2020:2.2.4 | 2021:2.2.4 | 2022:2.2.4 | 2023:2.2.4 | 2024:2.2.4 | 2025:2.2.4;2020:Número de horas de cursos recibidos por el personal | 2021:Número de horas de cursos recibidos por el personal | 2022:Número de horas de cursos recibidos por el personal | 2023:Número de horas de cursos recibidos por el personal | 2024:Número de horas de cursos recibidos por el personal | 2025:Número de horas de cursos recibidos por el personal
NBIBLIOS;3.1;Número de bibliotecas;3;Locales;3.1;Número de bibliotecas;2020;2025;No;No;2020:3.1 | 2021:3.1 | 2022:3.1 | 2023:3.1 | 2024:3.1 | 2025:3.1;2020:Número de bibliotecas | 2021:Número de bibliotecas | 2022:Número de bibliotecas | 2023:Número de bibliotecas | 2024:Número de bibliotecas | 2025:Número de bibliotecas
NMETROSBIB;3.2;Superficie total(m2 construidos);3;Locales;3.2;Superficie (metros cuadrados);2020;2025;No;No;2020:3.2 | 2021:3.2 | 2022:3.2 | 2023:3.2 | 2024:3.2 | 2025:3.2;2020:Superficie total(m2 construidos) | 2021:Superficie total(m2 construidos) | 2022:Superficie total(m2 construidos) | 2023:Superficie total(m2 construidos) | 2024:Superficie total(m2 construidos) | 2025:Superficie total(m2 construidos)
NPUESTOSLECT;3.3;Puestos de lectura;3;Locales;3.3;Puestos de lectura;2020;2025;No;No;2020:3.3 | 2021:3.3 | 2022:3.3 | 2023:3.3 | 2024:3.3 | 2025:3.3;2020:Puestos de lectura | 2021:Puestos de lectura | 2022:Puestos de lectura | 2023:Puestos de lectura | 2024:Puestos de lectura | 2025:Puestos de lectura
NPUESTOSIND;3.3.1;Puestos individuales;3;Locales;3.3;Puestos de lectura;2020;2025;No;No;2020:3.3.1 | 2021:3.3.1 | 2022:3.3.1 | 2023:3.3.1 | 2024:3.3.1 | 2025:3.3.1;2020:Puestos individuales | 2021:Puestos individuales | 2022:Puestos individuales | 2023:Puestos individuales | 2024:Puestos individuales | 2025:Puestos individuales
NSALASCOLECT;3.3.2;Puestos en salas colectivas;3;Locales;3.3;Puestos de lectura;2020;2025;No;No;2020:3.3.2 | 2021:3.3.2 | 2022:3.3.2 | 2023:3.3.2 | 2024:3.3.2 | 2025:3.3.2;2020:Puestos en salas colectivas | 2021:Puestos en salas colectivas | 2022:Puestos en salas colectivas | 2023:Puestos en salas colectivas | 2024:Puestos en salas colectivas | 2025:Puestos en salas colectivas
